Season,Season_Type
1980_81,average
1981_82,wet
1982_83,dry
1983_84,average
1984_85,dry
1985_86,wet
1986_87,wet
1987_88,dry
1988_89,wet
1989_90,dry
1990_91,average
1991_92,dry
1992_93,wet
1993_94,wet
1994_95,average
1995_96,dry
1996_97,average
1997_98,average
1998_99,dry
1999_00,average
2000_01,average
2001_02,dry
2002_03,wet
2003_04,dry
2004_05,dry
2005_06,average
2006_07,wet
2007_08,dry
2008_09,wet
2009_10,dry
2010_11,average
2011_12,wet
2012_13,wet
2013_14,wet
2014_15,average
2015_16,dry
2016_17,wet
2017_18,wet
2018_19,dry
2019_20,average
2020_21,wet
2021_22,wet
